TrialName,Status,n-embed,n-heads,n-layer,n-hidden,p-dropout,alpha,iter,TotalTime-s,Loss
e074f-00000,TERMINATED,512,4,6,256,0.45842,0.000894783,9,30.531,1.11095
e074f-00001,TERMINATED,32,4,2,256,0.468019,0.000597597,9,12.7215,0.941042
e074f-00002,TERMINATED,32,2,4,256,0.22574,0.00459195,8,11.4035,1.07018
e074f-00003,TERMINATED,128,8,6,256,0.364455,0.000896962,1,5.86997,1.65226
e074f-00004,TERMINATED,512,4,2,100,0.482521,0.00010652,1,2.06013,1.91103
e074f-00005,TERMINATED,512,2,4,128,0.161523,0.00745555,9,14.8994,nan
e074f-00006,TERMINATED,64,2,2,128,0.456563,0.00378217,9,8.34151,nan
e074f-00007,TERMINATED,512,4,4,256,0.337651,0.0032516,9,22.1187,nan
e074f-00008,TERMINATED,128,4,4,100,0.322391,0.00921683,9,19.0103,nan
e074f-00009,TERMINATED,256,4,2,100,0.3599,0.00138985,1,1.86552,2.00882
e074f-00010,TERMINATED,32,4,2,128,0.187257,0.00605833,9,11.2985,0.668699
e074f-00011,TERMINATED,32,4,2,100,0.382738,0.000448692,2,3.10086,1.10953
e074f-00012,TERMINATED,32,8,6,128,0.464613,0.000381795,2,12.0704,1.10105
e074f-00013,TERMINATED,64,4,6,128,0.385225,0.000468852,2,7.88897,1.13139
e074f-00014,TERMINATED,512,8,6,256,0.227116,0.00042166,1,6.60721,4.06757
e074f-00015,TERMINATED,32,4,2,100,0.395958,0.000188515,1,1.9308,1.38415
e074f-00016,TERMINATED,256,8,2,128,0.201593,0.00650824,9,20.4594,nan
e074f-00017,TERMINATED,128,2,4,256,0.265051,0.00816659,9,12.3898,nan
e074f-00018,TERMINATED,32,4,6,128,0.291954,0.000402352,2,6.37002,1.13659
e074f-00019,TERMINATED,128,2,6,128,0.432146,0.000683148,1,2.6375,1.86984
